zip, rating
10280,45.507098522124515
10282,73.783552192015776
11354,34.005080499939496
11355,31.123412690694206
11358,29.503157277663028
11367,12.061706236339248
11368,33.281778164651996
11372,33.24677984183063
11373,35.687526202791091
11374,37.036311515606819
11375,36.500417608116905
11377,33.886398291337848
11415,35.81512772871578
11418,25.886342995835811
11432,31.738475564884318
11435,32.10098830914805
10452,29.324383689588721
10453,28.292313987577675
10457,27.845837777697017
10458,29.499218125457045
10461,23.265475923910351
10462,28.001269992442168
10463,18.084544592876362
10466,29.03461557741127
10467,27.174389598148821
10468,30.196307557228355
10471,16.951706386068054
10472,26.71662076732364
10001,67.459962720318742
10002,49.422963457015314
10003,56.885365806612796
10004,66.425894600034383
10005,60.206607697196247
10006,57.951668113159833
10007,74.334270104473404
10009,46.522073106616546
10010,59.283602105244334
10011,65.079976950993583
10012,44.454972077176635
10013,57.413174216324215
10014,56.926597044970002
10016,53.062818831189588
10017,58.480613087454167
10018,56.79957290392062
10019,58.817680068705435
10021,48.156640181452183
10022,47.472342959293613
10023,52.517952765230277
10024,46.77199561018157
10025,54.872806988149335
10026,35.085990202727174
10027,32.829702274564148
10028,45.167572816845428
10029,72.349342050121521
10030,30.842232377348587
10031,33.000033769930141
10032,33.51240574566318
10033,30.540669650032761
10034,22.551465849768181
10035,8.9435942615234598
10036,50.937565861192724
10037,33.683125197848369
10038,61.551724756117423
10039,9.828474464438429
10040,29.677165527507299
10065,43.52641684738721
10075,38.118465575193113
11101,44.543577694420563
11102,37.613216401222893
11103,28.124503944823594
11104,39.859402725867199
11105,23.726591075285285
11106,32.580129247473579
11109,50.998544765503098
10128,45.136407906492281
11201,53.607024254757334
11203,27.812694004108799
11204,27.552469213313991
11205,45.214416840816668
11206,49.674828977975814
11207,33.796456285431148
11209,31.505562180539009
11210,27.064220256466069
11211,22.76422764227642
11213,33.557433825387285
11214,28.802337135275394
11215,38.148874559920017
11216,44.099725459169463
11217,43.692734496804945
11218,33.938455355811094
11220,28.902877028474538
11221,42.344638518295874
11222,41.16883984968355
11223,28.607384044519424
11225,40.032430046487306
11226,34.872196117721899
11228,29.144818570491175
11229,30.319896561271225
11230,30.995431205709544
11231,32.163824278093799
11232,29.891931140570101
11233,32.737600265851
11235,33.442162575776337
11237,41.786479950424109
11238,42.895484352243287
11249,26.551351597409134
