zip, rating
10282,92.485913856249283
11354,48.680314682591472
11355,47.852721704567024
11367,26.356253729202312
11368,47.393990039758577
11370,41.04766615820963
11372,43.493651222087067
11373,45.520249315800825
11374,47.998779663429481
11375,51.807361903644079
11377,43.764538913660175
11385,51.610660761272143
11415,41.314505078973689
11432,23.870447811253346
11435,32.029701889326283
10453,36.845671815426812
10456,38.760227967887481
10457,37.555757408450575
10458,36.677786697944782
10461,31.428978341633417
10462,40.280056800389659
10463,37.601497296372216
10467,35.809517012779082
10468,38.28528231052195
10471,19.731503604410612
10473,35.474709705396954
10001,53.189116912322412
10002,53.157908195297843
10003,62.180055567926694
10004,86.494910297822742
10005,86.849714160070349
10006,55.666114989465662
10007,94.042150188216624
10009,33.784719038427383
10010,73.928216139381206
10012,62.054936135266296
10013,51.868343580370059
10014,50.618872630182153
10016,54.892219152104119
10017,44.610412533814241
10018,46.862769349164466
10019,52.748955673333128
10021,44.115405352162782
10022,54.910497540482858
10023,55.329278444192155
10024,65.315532701393948
10025,57.333802438212224
10026,48.598798801210748
10027,51.651524209648755
10028,48.020747322018281
10030,49.683389268245129
10031,45.944936795942297
10032,45.704323431106147
10033,44.754036799916719
10035,27.672298878866467
10036,63.010467529013397
10038,81.169861596434458
10040,35.636925530983369
10075,30.625109864941347
11101,36.120967131257302
11102,36.227756299723012
11103,40.3603371723392
11104,53.614999657499972
11105,40.72071717351362
11106,25.882629794308013
11109,59.54893973138136
10128,50.260405270724348
11201,72.002292685373135
11203,40.437708881574494
11204,38.362023934047656
11205,53.928651596973531
11206,50.527842171195509
11207,48.697582824468569
11209,46.843151861078809
11210,23.654074604147091
11211,49.649175967969228
11212,38.143146057398795
11213,48.324434005117979
11214,41.746289357244791
11215,54.887215318484252
11216,55.262539126110603
11217,58.527047197249573
11218,45.164901402567118
11220,45.966591804273662
11221,53.707998424973447
11222,56.828539433284405
11223,38.283200119641712
11225,54.357281163167862
11226,48.34155614048256
11228,42.602454905356417
11229,42.762633018889375
11230,45.422320861614374
11231,33.96196310404509
11232,46.144496078410356
11233,49.506722357454414
11234,40.334313461141363
11235,46.479893487818089
11236,35.496245887442115
11237,52.253392579883894
11238,50.668422697203503
11249,38.933290498659176
