ZIP_CODE,RENT_INDEX,MEDIAN_RENT
10280,45.507098522124515,3150.0
10282,73.783552192015776,4150.0
11354,34.005080499939496,1750.0
11355,31.123412690694206,1700.0
11358,29.503157277663028,1575.0
11367,12.061706236339248,1650.0
11368,33.281778164651996,1690.0
11372,33.24677984183063,1800.0
11373,35.687526202791091,1800.0
11374,37.036311515606819,1875.0
11375,36.500417608116905,1900.0
11377,33.886398291337848,1800.0
11415,35.81512772871578,1800.0
11418,25.886342995835811,1425.0
11432,31.738475564884318,1650.0
11435,32.10098830914805,1675.0
10452,29.324383689588721,1400.0
10453,28.292313987577675,1350.0
10457,27.845837777697017,1350.0
10458,29.499218125457045,1400.0
10461,23.265475923910351,1450.0
10462,28.001269992442168,1425.0
10463,18.084544592876362,1600.0
10466,29.03461557741127,1395.0
10467,27.174389598148821,1375.0
10468,30.196307557228355,1450.0
10471,16.951706386068054,1600.0
10472,26.71662076732364,1375.0
10001,67.459962720318742,3850.0
10002,49.422963457015314,2692.5
10003,56.885365806612796,3395.0
10004,66.425894600034383,3837.5
10005,60.206607697196247,3670.0
10006,57.951668113159833,3380.0
10007,74.334270104473404,4425.0
10009,46.522073106616546,2845.0
10010,59.283602105244334,3463.0
10011,65.079976950993583,3750.0
10012,44.454972077176635,2998.5
10013,57.413174216324215,3800.0
10014,56.926597044970002,3400.0
10016,53.062818831189588,3398.0
10017,58.480613087454167,3295.0
10018,56.79957290392062,3495.0
10019,58.817680068705435,3426.5
10021,48.156640181452183,2900.0
10022,47.472342959293613,3200.0
10023,52.517952765230277,3300.0
10024,46.77199561018157,2995.0
10025,54.872806988149335,3100.0
10026,35.085990202727174,2160.0
10027,32.829702274564148,1997.5
10028,45.167572816845428,2600.0
10029,72.349342050121521,3200.0
10030,30.842232377348587,1645.0
10031,33.000033769930141,1750.0
10032,33.51240574566318,1695.0
10033,30.540669650032761,1700.0
10034,22.551465849768181,1400.0
10035,8.9435942615234598,1874.5
10036,50.937565861192724,3290.0
10037,33.683125197848369,1775.0
10038,61.551724756117423,3482.0
10039,9.828474464438429,1637.5
10040,29.677165527507299,1537.0
10065,43.52641684738721,3362.5
10075,38.118465575193113,2450.0
11101,44.543577694420563,2710.0
11102,37.613216401222893,2175.0
11103,28.124503944823594,1900.0
11104,39.859402725867199,2050.0
11105,23.726591075285285,1850.0
11106,32.580129247473579,1925.0
11109,50.998544765503098,2960.0
10128,45.136407906492281,2697.0
11201,53.607024254757334,3100.0
11203,27.812694004108799,1575.0
11204,27.552469213313991,1500.0
11205,45.214416840816668,2499.5
11206,49.674828977975814,2495.0
11207,33.796456285431148,1797.5
11209,31.505562180539009,1650.0
11210,27.064220256466069,1525.0
11211,22.76422764227642,2750.0
11213,33.557433825387285,1650.0
11214,28.802337135275394,1500.0
11215,38.148874559920017,2350.0
11216,44.099725459169463,2100.0
11217,43.692734496804945,2600.0
11218,33.938455355811094,1900.0
11220,28.902877028474538,1600.0
11221,42.344638518295874,2100.0
11222,41.16883984968355,2499.0
11223,28.607384044519424,1500.0
11225,40.032430046487306,2000.0
11226,34.872196117721899,1750.0
11228,29.144818570491175,1500.0
11229,30.319896561271225,1599.5
11230,30.995431205709544,1575.0
11231,32.163824278093799,2500.0
11232,29.891931140570101,1900.0
11233,32.737600265851,1850.0
11235,33.442162575776337,1695.0
11237,41.786479950424109,2399.0
11238,42.895484352243287,2300.0
11249,26.551351597409134,2900.0
