ZIP_CODE,RENT_INDEX,MEDIAN RENT
11105,40.379240640395537,3000.0
11228,32.69559202638132,2325.0
11231,47.074084463798748,4200.0
11357,41.215011817107801,2300.0
10128,46.921868307411103,4447.5
10002,58.269738369736757,4500.0
10003,62.948298296630625,5075.0
10009,39.594964407739496,4350.0
10010,58.476606840163683,4541.5
10011,63.632805193504538,5475.0
10012,60.483659863982723,5425.0
11226,46.485655930811134,2500.0
10014,71.777471272510084,6400.0
10016,50.727104240085993,5995.0
10019,40.516902096980154,4995.0
10021,53.694923486430156,6000.0
10023,58.349775224775215,7172.5
10024,67.916688529984285,7800.0
10025,44.177150802260805,4600.0
10027,43.857330731473631,3300.0
10028,56.350671374905588,5497.5
10029,39.9543506493808,3495.0
10031,49.854560137749012,2997.5
10032,46.176672879928148,2500.0
10033,40.677183530184244,2756.0
10036,47.358546560251995,4995.0
11102,43.020536261883009,3200.0
11103,46.768359724605254,3000.0
11365,33.580190660038731,2400.0
11201,45.184144424005424,4700.0
11203,35.781780454474791,2200.0
11232,33.932472396323348,2774.5
11205,49.905393404553678,3400.0
11206,50.944100022676821,3289.0
11207,48.222966449883202,2600.0
11208,27.51017752245442,2000.0
11209,45.45986155639325,2500.0
11210,35.817400081418825,2200.0
11211,54.846619860882413,3850.0
11213,40.218835272252115,2650.0
11214,41.860651348460145,2200.0
11215,36.667511429719269,3800.0
11216,50.589826747049685,2998.0
10065,93.406593406593402,8500.0
11218,45.522278203364671,2800.0
11219,22.197850571400693,2200.0
11220,44.317926373768792,2500.0
11221,50.720613876731434,2702.0
11222,45.588832272438232,3500.0
11223,31.608537482705884,2200.0
11225,51.207759342140321,2900.0
10458,35.581645910136444,1900.0
11355,39.931643078786152,2500.0
11106,37.777554572304481,3000.0
11229,27.890849017882466,2349.5
11230,26.951882660559516,2295.0
10463,29.834348501212098,2600.0
11360,40.033878610807236,2325.0
11233,48.461112245119608,2500.0
11234,39.927018191375879,2300.0
11235,25.299654446212561,2450.0
11236,39.968850842806887,2200.0
11237,50.748266582275136,3000.0
11238,47.185208001956482,3400.0
11217,34.115871525986499,4000.0
11101,38.327301952245534,3847.5
11373,42.578659763743531,2600.0
11374,40.52935420300664,2950.0
11375,38.593079100821441,3200.0
11377,41.207886636407267,2550.0
11385,48.121045753782184,2750.0
