ZIP_CODE,RENT_INDEX,MEDIAN_RENT
10128,50.791412505955215,1899.0
10001,85.745680055646048,2825.0
10002,61.659848394675038,2150.0
10003,68.767857339827458,2550.0
10005,86.933974091378829,2870.0
10006,85.937690684685606,2765.0
11415,48.553815344449617,1500.0
10009,57.477258607595495,2100.0
10010,74.404369758210009,2600.0
10011,76.553334551782172,2550.0
10012,73.191674536202669,2595.0
10458,47.450523313779215,1262.5
10014,88.390777871467989,2850.0
10016,71.581022239036443,2400.0
10017,63.942033201338148,2300.0
10018,73.656586895501263,2755.0
10019,80.477407404999184,2700.0
10021,57.365196237876546,1950.0
10022,64.4107259147886,2300.0
10023,70.308116490379362,2395.0
10024,62.204751194350663,2200.0
10025,75.833221216055207,2350.0
10028,62.272229910918568,1995.0
10029,82.528795595082187,2850.0
10013,79.419366796953199,2995.0
10032,39.341857472627112,1372.5
10035,30.316027484106332,1700.0
10036,68.588636699874911,2595.0
10038,84.425984226296592,2800.0
11249,64.545880780743289,2578.0
11201,78.610044762705002,2500.0
11205,41.463413358920484,2150.0
11209,44.330781321566889,1400.0
11211,71.118034818245718,2599.5
11215,35.994629324536334,2000.0
11216,52.672268196423872,1800.0
10065,68.246473249669791,2420.0
11221,51.187405974640022,1875.0
11222,39.005624397227749,2199.0
11226,54.024585781279555,1550.0
11355,41.369029047769821,1300.0
11101,65.582610761496568,2275.0
11102,24.631190322679686,1775.0
11231,54.898993018568603,2310.0
11104,52.417550532440963,1600.0
11233,29.952583384564054,1737.5
11106,45.773601790586639,1750.0
11235,48.00700064392354,1425.0
11109,67.82627095527225,2395.0
11238,63.463176874973499,1900.0
10075,58.771052325820541,1895.0
11372,52.347507611097967,1550.0
11373,55.023578467946969,1600.0
11374,54.041597819966896,1575.0
11375,51.74401060308476,1587.5
11432,44.662608197633745,1400.0
10069,72.673831546650973,2870.0
